"DJF","2024-12-16 18:31:11","2024-12-16 18:31:11","Fdj","Fdj","Djiboutian Franc",0,0,"Djiboutian francs","fiat","{DJ}"
"DKK","2024-12-16 18:31:11","2024-12-16 18:31:11","Dkr","kr","Danish Krone",2,0,"Danish kroner","fiat","{DK,FO,GL}"
"DOP","2024-12-16 18:31:11","2024-12-16 18:31:11","RD$","RD$","Dominican Peso",2,0,"Dominican pesos","fiat","{DO}"
"DZD","2024-12-16 18:31:11","2024-12-16 18:31:11","DA","د.ج.‏","Algerian Dinar",2,0,"Algerian dinars","fiat","{DZ}"
"EGP","2024-12-16 18:31:11","2024-12-16 18:31:11","EGP","ج.م.‏","Egyptian Pound",2,0,"Egyptian pounds","fiat","{EG,PS}"
"ERN","2024-12-16 18:31:11","2024-12-16 18:31:11","Nfk","Nfk","Eritrean Nakfa",2,0,"Eritrean nakfas","fiat","{ER}"
"ETB","2024-12-16 18:31:11","2024-12-16 18:31:11","Br","Br","Ethiopian Birr",2,0,"Ethiopian birrs","fiat","{ET}"
"EUR","2024-12-16 18:31:11","2024-12-16 18:31:11","€","€","Euro",2,0,"Euros","fiat","{AD,AT,AX,BE,BL,CP,CY,DE,EA,EE,ES,EU,FI,FR,FX,GF,GP,GR,IC,IE,IT,LT,LU,LV,MC,ME,MF,MQ,MT,NL,PM,PT,RE,SI,SK,SM,TF,VA,XK,YT,ZW}"
"FJD","2024-12-16 18:31:11","2024-12-16 18:31:11","FJ$","$","Fijian Dollar",2,0,"Fijian Dollar","fiat","{FJ}"
"FKP","2024-12-16 18:31:11","2024-12-16 18:31:11","FK£","£","Falkland Islands Pound",2,0,"Falkland Islands Pound","fiat","{FK}"
"GBP","2024-12-16 18:31:11","2024-12-16 18:31:11","£","£","British Pound Sterling",2,0,"British pounds sterling","fiat","{GB,GG,GS,IM,JE,TA,UK,ZW}"
"GEL","2024-12-16 18:31:11","2024-12-16 18:31:11","GEL","GEL","Georgian Lari",2,0,"Georgian laris","fiat","{GE}"
"GGP","2024-12-16 18:31:11","2024-12-16 18:31:11","£","£","Guernsey pound",2,0,"Guernsey pounds","fiat","{}"
"GHS","2024-12-16 18:31:11","2024-12-16 18:31:11","GH₵","GH₵","Ghanaian Cedi",2,0,"Ghanaian cedis","fiat","{GH}"
"GIP","2024-12-16 18:31:11","2024-12-16 18:31:11","£","£","Gibraltar Pound",2,0,"Gibraltar Pounds","fiat","{GI}"
"GMD","2024-12-16 18:31:11","2024-12-16 18:31:11","D","D","Gambian Dalasi",2,0,"Gambian Dalasi","fiat","{GM}"
"GNF","2024-12-16 18:31:11","2024-12-16 18:31:11","FG","FG","Guinean Franc",0,0,"Guinean francs","fiat","{GN}"
"GTQ","2024-12-16 18:31:11","2024-12-16 18:31:11","GTQ","Q","Guatemalan Quetzal",2,0,"Guatemalan quetzals","fiat","{GT}"
"GYD","2024-12-16 18:31:11","2024-12-16 18:31:11","G$","$","Guyanaese Dollar",2,0,"Guyanaese Dollar","fiat","{GY}"
"HKD","2024-12-16 18:31:11","2024-12-16 18:31:11","HK$","$","Hong Kong Dollar",2,0,"Hong Kong dollars","fiat","{HK}"
"HNL","2024-12-16 18:31:11","2024-12-16 18:31:11","HNL","L","Honduran Lempira",2,0,"Honduran lempiras","fiat","{HN}"
"HRK","2024-12-16 18:31:11","2024-12-16 18:31:11","kn","kn","Croatian Kuna",2,0,"Croatian kunas","fiat","{HR}"
"HTG","2024-12-16 18:31:11","2024-12-16 18:31:11","G","G","Haitian Gourde",2,0,"Haitian Gourde","fiat","{HT}"
"HUF","2024-12-16 18:31:11","2024-12-16 18:31:11","Ft","Ft","Hungarian Forint",0,0,"Hungarian forints","fiat","{HU}"
"IDR","2024-12-16 18:31:11","2024-12-16 18:31:11","Rp","Rp","Indonesian Rupiah",0,0,"Indonesian rupiahs","fiat","{ID}"
